,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1605,Jude,UK,405144.0,Drama,1996,Christopher Eccleston,123,7.0,R,Fresh,81,37,Upright,73.0,13,30,7
1090,CB4,USA,17953778.0,Comedy,1993,Chris Rock,89,6.2,R,Rotten,55,22,Upright,62.0,9,12,10
3809,Prom Night,USA,43869350.0,Horror,2008,Brittany Snow,88,3.9,R,Rotten,45,20,Spilled,35.0,4,9,11
2885,Calendar Girls,UK,31041759.0,Comedy,2003,Helen Mirren,108,6.9,PG-13,Certified Fresh,74,125,Upright,67.0,36,92,33
3729,Kung Fu Panda,USA,215434591.0,Animation,2008,Jack Black,92,7.6,PG,Certified Fresh,87,185,Upright,82.0,44,161,24
3439,Black Christmas,USA,16235293.0,Horror,2006,Michelle Trachtenberg,84,4.6,R,Rotten,15,61,Spilled,38.0,20,9,52
3640,The Messengers,USA,35374833.0,Horror,2007,Dylan McDermott,90,5.4,PG-13,Rotten,12,84,Spilled,44.0,24,10,74
3167,xXx: State of the Union,USA,26873932.0,Action,2005,Ice Cube,101,4.4,R,Rotten,17,136,Spilled,32.0,35,23,113
175,Maurice,UK,3130592.0,Drama,1987,James Wilby,140,7.7,R,Fresh,90,21,Upright,87.0,7,19,2
486,The Return of Swamp Thing,USA,192816.0,Sci-Fi,1989,Dick Durock,84,4.5,PG-13,Rotten,44,9,Spilled,28.0,0,4,5
663,The Guardian,USA,17037887.0,Drama,1990,Jenny Seagrove,92,5.3,R,Rotten,22,9,Spilled,32.0,1,2,7
3538,The Number 23,USA,35193167.0,Mystery,2007,Jim Carrey,101,6.4,R,Rotten,8,189,Spilled,56.0,48,15,174
1833,Still Breathing,USA,212267.0,Comedy,1997,Brendan Fraser,109,6.9,PG-13,Fresh,62,13,Upright,78.0,5,8,5
3468,The Ultimate Gift,USA,3438735.0,Drama,2006,Drew Fuller,100,7.4,PG,Rotten,32,59,Upright,84.0,19,19,40
5178,The Peanuts Movie,USA,130178411.0,Animation,2015,Noah Schnapp,88,7.1,G,Certified Fresh,87,193,Upright,76.0,43,168,25
946,Gladiator,USA,9223441.0,Action,1992,Cuba Gooding Jr.,101,6.4,R,Rotten,31,13,Upright,69.0,6,4,9
2450,Frailty,USA,13103828.0,Crime,2001,Bill Paxton,100,7.3,R,Certified Fresh,74,151,Upright,78.0,40,111,40
3458,Madea's Family Reunion,USA,63257940.0,Comedy,2006,Tyler Perry,107,5.1,PG-13,Rotten,25,57,Upright,94.0,20,14,43
2737,Pinocchio,Italy,3684305.0,Comedy,2002,Roberto Benigni,108,4.2,G,Rotten,0,54,Spilled,32.0,19,0,54
1652,Celtic Pride,USA,9255027.0,Comedy,1996,Damon Wayans,91,5.2,PG-13,Rotten,9,23,Spilled,31.0,7,2,21
3070,Lila Says,France,121166.0,Crime,2004,Vahina Giocante,89,7.0,R,Fresh,68,40,Upright,77.0,15,27,13
3599,Rendition,USA,9736045.0,Drama,2007,Reese Witherspoon,122,6.8,R,Rotten,47,153,Upright,62.0,45,72,81
156,Summer School,USA,35658098.0,Comedy,1987,Mark Harmon,97,6.5,PG-13,Fresh,62,29,Spilled,58.0,5,18,11
4124,Robin Hood,USA,105269730.0,Action,2010,Russell Crowe,140,6.7,PG-13,Rotten,15,162,Spilled,41.0,25,24,138
3688,I Think I Love My Wife,USA,12550605.0,Comedy,2007,Chris Rock,94,5.5,R,Rotten,19,114,Spilled,41.0,40,22,92
2382,Vatel,France,49464.0,Biography,2000,Gérard Depardieu,103,6.6,PG-13,Rotten,31,32,Upright,61.0,11,10,22
804,All I Want for Christmas,USA,14812000.0,Comedy,1991,Harley Jane Kozak,92,6.0,G,Rotten,0,14,Spilled,58.0,5,0,14
