id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
293,Killer Klowns from Outer Space,USA,15625095.0,Comedy,1988,Grant Cramer,88,PG-13,Fresh,77,22,43171.0,0,17,5
294,Midnight Run,USA,38413606.0,Action,1988,Robert De Niro,126,R,Certified Fresh,96,49,24898.0,13,47,2
295,Hellbound: Hellraiser II,UK,11090735.0,Horror,1988,Doug Bradley,97,R,Rotten,54,28,47608.0,6,15,13
296,Mississippi Burning,USA,34603943.0,Crime,1988,Gene Hackman,128,R,Fresh,87,23,39375.0,6,20,3
297,The Naked Gun: From the Files of Police Squad!,USA,78041829.0,Comedy,1988,Leslie Nielsen,85,PG-13,Certified Fresh,87,54,176704.0,11,47,7
298,Bloodsport,USA,11806119.0,Action,1988,Jean-Claude Van Damme,92,R,Rotten,39,23,68375.0,3,9,14
299,Working Girl,USA,64000000.0,Comedy,1988,Melanie Griffith,113,R,Certified Fresh,83,41,33573.0,8,34,7
300,Crocodile Dundee II,Australia,109305000.0,Action,1988,Paul Hogan,108,PG,Rotten,11,28,264408.0,6,3,25
301,Dangerous Liaisons,USA,34700000.0,Drama,1988,Glenn Close,119,R,Fresh,93,30,46530.0,8,28,2
302,Dangerous Liaisons,USA,34700000.0,Drama,1988,Glenn Close,119,NR,Fresh,68,19,738.0,11,13,6
303,The Unbearable Lightness of Being,USA,10006806.0,Drama,1988,Daniel Day-Lewis,171,R,Fresh,88,24,19449.0,5,21,3
