id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
2160,The Minus Man,USA,368808.0,Crime,1999,Owen Wilson,111,R,Fresh,60,35,4047.0,9,21,14
2967,Dirty Dancing: Havana Nights,USA,14161590.0,Drama,2004,Diego Luna,86,PG-13,Rotten,23,108,269617.0,38,25,83
4356,War Horse,USA,79884879.0,Drama,2011,Jeremy Irvine,146,PG-13,Certified Fresh,75,233,69624.0,47,175,58
4415,The Eagle,UK,19490041.0,Action,2011,Channing Tatum,114,PG-13,Rotten,40,155,42591.0,39,62,93
5122,Home,USA,177397510.0,Animation,2015,Jim Parsons,94,PG-13,Fresh,94,35,2425.0,12,33,2
658,Repossessed,USA,1382462.0,Comedy,1990,Leslie Nielsen,80,PG-13,Rotten,0,7,7281.0,0,0,7
1511,101 Dalmatians,USA,136189294.0,Adventure,1996,Glenn Close,103,G,Certified Fresh,98,48,709186.0,6,47,1
2248,Billy Elliot,UK,21995263.0,Drama,2000,Jamie Bell,110,R,Certified Fresh,85,117,280530.0,37,99,18
65,The Morning After,USA,25147055.0,Crime,1986,Jane Fonda,103,R,Fresh,71,17,2643.0,1,12,5
171,Beverly Hills Cop II,USA,153665000.0,Action,1987,Eddie Murphy,100,R,Rotten,46,28,276170.0,3,13,15
3211,A Lot Like Love,USA,21835784.0,Comedy,2005,Ashton Kutcher,107,PG-13,Rotten,41,125,76753.0,38,51,74
5240,Moonlight,USA,27850912.0,Drama,2016,Mahershala Ali,111,R,Fresh,60,10,1430.0,6,6,4
5198,The D Train,UK,660994.0,Comedy,2015,Jack Black,101,R,Rotten,53,131,3412.0,36,70,61
4927,Transcendence,UK,23022309.0,Drama,2014,Johnny Depp,119,PG-13,Rotten,20,222,64243.0,53,44,178
4454,Apollo 18,USA,17686929.0,Horror,2011,Warren Christie,86,PG-13,Rotten,24,72,42442.0,12,17,55
1368,A Walk in the Clouds,USA,50012507.0,Drama,1995,Keanu Reeves,102,PG-13,Rotten,44,27,62202.0,4,12,15
3741,Never Back Down,USA,24850922.0,Action,2008,Sean Faris,110,PG-13,Rotten,23,84,609711.0,25,19,65
2977,The Polar Express,USA,183373735.0,Animation,2004,Tom Hanks,100,G,Rotten,56,203,241905.0,50,113,90
4112,Blue Valentine,USA,9737892.0,Drama,2010,Ryan Gosling,112,R,Certified Fresh,87,203,59087.0,48,176,27
630,Memphis Belle,UK,27441977.0,Action,1990,Matthew Modine,107,PG-13,Fresh,67,24,29762.0,8,16,8
3299,13 Tzameti,France,121390.0,Crime,2005,George Babluani,93,NR,Certified Fresh,84,67,9301.0,26,56,11
4451,Albert Nobbs,UK,3014696.0,Drama,2011,Glenn Close,113,R,Rotten,56,156,9865.0,44,87,69
2344,Lost Souls,USA,16779636.0,Drama,2000,Winona Ryder,97,R,Rotten,8,91,10736.0,30,7,84
2744,The Wild Thornberrys Movie,USA,40108697.0,Animation,2002,Tim Curry,85,PG,Certified Fresh,80,89,20821.0,31,71,18
5177,Jenny's Wedding,USA,2254.0,Comedy,2015,Katherine Heigl,94,PG-13,Rotten,25,16,1152.0,9,4,12
4695,Thor: The Dark World,USA,206362140.0,Action,2013,Chris Hemsworth,112,PG-13,Fresh,67,269,310166.0,52,179,90
4974,5 to 7,USA,116400.0,Comedy,2014,Anton Yelchin,95,R,Fresh,69,55,2359.0,22,38,17
4397,The Rite,USA,33047633.0,Drama,2011,Colin O'Donoghue,114,PG-13,Rotten,21,170,52572.0,36,36,134
2037,The Sixth Sense,USA,293506292.0,Drama,1999,Bruce Willis,107,PG-13,Certified Fresh,86,153,1036418.0,38,131,22
3093,Saint Ralph,Canada,795126.0,Comedy,2004,Adam Butcher,98,PG-13,Fresh,64,69,6202.0,27,44,25
2920,Masked and Anonymous,UK,533344.0,Comedy,2003,Bob Dylan,112,PG-13,Rotten,25,80,3599.0,31,20,60
4958,The Signal,USA,600896.0,Sci-Fi,2014,Brenton Thwaites,97,R,Rotten,59,70,9733.0,18,41,29
3344,Superman Returns,USA,200081192.0,Action,2006,Brandon Routh,154,PG-13,Certified Fresh,75,263,516925.0,52,197,66
3139,Sky High,USA,63946815.0,Adventure,2005,Kurt Russell,100,PG,Fresh,73,130,203360.0,31,95,35
1266,Terminal Velocity,USA,16478900.0,Action,1994,Charlie Sheen,102,PG-13,Rotten,20,25,12368.0,5,5,20
1348,Village of the Damned,USA,9417567.0,Horror,1995,Christopher Reeve,99,R,Rotten,29,34,35727.0,5,10,24
1029,The Three Musketeers,Germany,20377913.0,Action,2011,Logan Lerman,110,PG,Rotten,31,26,169731.0,4,8,18
2474,Lagaan: Once Upon a Time in India,India,70147.0,Adventure,2001,Aamir Khan,224,PG,Certified Fresh,95,59,19697.0,22,56,3
2142,Virus,USA,14010690.0,Action,1999,Jamie Lee Curtis,99,R,Rotten,10,48,20131.0,14,5,43
4446,The Deep Blue Sea,UK,1124786.0,Drama,2011,Rachel Weisz,98,R,Certified Fresh,80,140,21116.0,43,112,28
1970,Almost Heroes,USA,6114928.0,Adventure,1998,Chris Farley,90,PG-13,Rotten,8,40,37440.0,13,3,37
4787,The Double,UK,200268.0,Comedy,2013,Jesse Eisenberg,93,R,Certified Fresh,83,131,18363.0,33,109,22
4438,Wuthering Heights,UK,96889.0,Drama,2011,Kaya Scodelario,129,PG,Rotten,33,9,9800.0,1,3,6
5012,Spring,USA,48949.0,Comedy,2014,Lou Taylor Pucci,109,NR,Certified Fresh,85,54,6351.0,16,46,8
1874,Psycho,USA,21456130.0,Horror,1998,Vince Vaughn,105,R,Certified Fresh,96,94,239729.0,20,90,4
2739,Pumpkin,USA,305690.0,Comedy,2002,Christina Ricci,113,R,Rotten,36,74,11914.0,23,27,47
4616,The Company You Keep,USA,5132442.0,Drama,2012,Robert Redford,125,R,Rotten,54,119,13526.0,38,64,55
1082,The Thing Called Love,USA,1029721.0,Comedy,1993,River Phoenix,116,PG-13,Rotten,57,21,10189.0,5,12,9
717,Thelma & Louise,USA,45361000.0,Adventure,1991,Susan Sarandon,130,R,Certified Fresh,84,67,170046.0,18,56,11
